topic_id,topic_name,topic_whether_background,topic_havebg_id,topic_havebg_else,topic_category,topic_synopsis,topic_remark,topic_teacher,topic_whether_pass,topic_major,topic_time
2022wl060,仿生碳基CoO2超级电容器,FALSE,,,基础型,"超级电容器（Supercapacitor, SC），也被称作电化学电容器，是介于传统电容器和电池之间的一种储能装置，既具有电容器快速充放电的特性，又具有电池的储能特性。超级电容器的性能与电极材料、电解液、隔膜等组成有关，而电极材料在很大程度上决定了器件的性能。值得注意的是，电极材料中活性物质的组成、尺寸、含量和分布都对其电化学性能有很大的影响，比如说，可以发生氧化还原反应的赝电容材料与碳材料复合，可以获得两种材料的优势，弥补单一材料的劣势；高含量、小尺寸的活性物质可以提供足够的活性位点；与大尺寸的颗粒相比，分布良好的超小颗粒可以使电解液更容易接近活性中心，有利于电解质离子的扩散和相关的氧化还原反应。但是如何可控合成尺寸小、含量高、分布均匀的电极材料是一个尚待解决的问题。
因此，本课题将从选择合适的电极材料出发，在纳米尺度上设计材料的结构，提高超级电容器的电化学性能。",,朱燕艳,TRUE,应用物理学,2021/11/3
2022wl061,纳米银的制备和杀菌机理,FALSE,,,基础型,"纳米银作为金属银的一种特殊形态，是指粒径在1～100nm之间的金属银微粒组成的粉体。由于其颗粒极其微小，表面积较大,使其具有显著的表面效应、量子尺寸效应和量子隧道效应，因而使纳米银具有超强的活性及渗透性，其杀菌作用是普通银的数百倍。另外，由于纳米尺度的金属银的表面电子特性，它可以与细菌的蛋白质分子上的疏基、胺基等吸电子基团形成配体，从而进一步增强了抗菌效果。纳米银是一类新型抗菌剂，它具有强大的抑菌、杀菌作用及其广谱的抗菌活性，具有传统False机抗菌剂False法比拟的抗菌效果，False耐药性，安全性高。随着抗生素的细菌耐药性日益严重，纳米银在消毒杀菌领域的研究和应用越来越受到了广泛的关注。
但在实际应用中，纳米银的制备和杀菌机理还是不清楚，需要进一步研究。本课题拟在纳米银的科研前沿作一深入了解，并试图了解初步的杀菌机理。",,朱燕艳,TRUE,应用物理学,2021/11/3
2022xj045,二维虫口模型的混沌特征,FALSE,,,工程实践/应用型,"混沌作为一种非常有趣的非线性现象，在最近30年被广泛的研究。我们熟知的抛物线函数就是一个非线性映射。虫口模型就是一个抛物线函数，它虽然形式简单但动力学行为丰富多彩。虫口模型最早出现在种群生态学的研究中,常被用于模拟和分析生物种群的演化.该模型是数学生态学家May于1976年发表在《自然》杂志上的一篇影响甚广的综述文献中提出的。本课堂主要讨论二维随机耦合虫口模型的混沌特征，主要从相图、Lyapunov指数的角度讨论虫口模型按周期分岔和Hopf分岔走向混沌的演化规律。",,王军平,TRUE,信息与计算科学,2021/11/3
2022xj074,基于机器学习的证券投资策略研究,FALSE,,,工程实践/应用型,"机器学习作为一门交叉学科，涉及统计学、数学、计算机科学等多个领域，内容庞杂，
分支众多，归纳方式也有多种。比如一般按有False标签信息分为有监督学习和False监督学习；
按学习思想又可归纳出对偶学习、迁移学习、对抗学习等。
    机器学习方法的很多特性确实能够弥补传统方法的不足，满足更精确估计和信息提取的需要。这些特性包括但不限于以下几个方面：
&#61548;  非线性优势。在很多定价模型和多因子模型中传统的方法都假设因子与收益之间是线性关系，这点假设过强。机器学习方法能够提供非线性的模型。另外，深度的非线性模型可以提取数据中高层的概念模式，提升模型的描述能力。
&#61548;  数据化优势。随着信息化变革的加深，全社会产生的数据在总量和维度上都已经今非昔比，传统数据已经不能满足专业投资者的需要。投资者开始从新闻，产品网站，卫星数据等另类数据中挖掘有价值的信息并进行数据化。机器学习在这些方面已经有成熟的技术工具可以使用，如自然语言处理技术和图像处理技术。
&#61548;  速度优势。在投资领域处理信息的速度起着至关重要的作用，因为信息的价值会随着时间而衰减。机器学习技术可以快速对海量的数据进行处理来产生交易想法和信号，从而领先其他投资者。
&#61548;  复杂度优势。在中高频的交易领域，传统交易信号指标多是基于量价数据，指标设计也往往根据个人经验，这样极容易造成信号指标间的同质化，导致投资收益降低。机器学习技术可以批量的从基础数据中挖掘新的指标，且能保证差异化，最终保证了获利能力。
    本课题将收集股票指数或个股价格数据，采用合适的机器学习方法，探索出较好的交易策略，在控制回撤幅度等风险指标的前提下，以获得超额收益。",具备python编程能力和数据的统计分析能力。,朱威,TRUE,信息与计算科学,2021/11/3
2022xj075,基于LSTM模型的股票价格预测研究,FALSE,,,基础型,"长短期记忆模型（LSTM）模型是一种神经网络模型，其基本思想的是将循环神经网络（RNN）中的每个隐藏单元换成了具有记忆功能的cell，每个cell的组成如下：
（1）输入节点：与RNN中的一样，接受上一个时刻点的隐藏节点的输出以及当前的输入作为输入，然后通过一个tanh的激活函数；
（2）输入门：起控制输入信息的作用，门的输入为上一个时刻点的隐藏节点的输出以及当前的输入，激活函数为sigmoid（原因为sigmoid的输出为0-1之间，将输入门的输出与输入节点的输出相乘可以起控制信息量的作用）；
（3）内部状态节点：输入为被输入门过滤后的当前输入以及前一时间点的内部状态节点输出；
（4）忘记门：起控制内部状态信息的作用，门的输入为上一个时刻点的隐藏节点的输出以及当前的输入，激活函数为sigmoid（原因为sigmoid的输出为0-1之间，将内部状态节点的输出与忘记门的输出相乘可以起控制信息量的作用）；
（5）输出门：起控制输出信息的作用，门的输入为上一个时刻点的隐藏节点的输出以及当前的输入，激活函数为sigmoid（原因为sigmoid的输出为0-1之间，将输出门的输出与内部状态节点的输出相乘可以起控制信息量的作用）
  这样可以达到一种效果，使得LSTM既可以不会遗漏较远的重要信息，也不会引入较近期的不重要的噪声信息，使得LSTM的具有更好的预测功能。本课题将LSTM模型应用于股价预测，引入合适的外部变量，在特定的预测指标基准下达到较好的效果。",选题者需要具备较好的python或matlab编程能力，具备基本的数据分析能力。,朱威,TRUE,信息与计算科学,2021/11/3
2022xj076,市场交易情绪的指标选取与量化研究,FALSE,,,工程实践/应用型,"投资者情绪是行为金融学的基本概念，学术界始终没有对其定义达成共识。
Lee et al.（1991）将投资者情绪定义为False法被基本面因素所解释的收益率预期。
Baker和Stein（2004）认为投资者情绪反映了投资者的价值判断与资产真实价值的偏差。
Baker和Wurgler（2006）提出了两种投资者情绪定义：第一种，投资者情绪是指投资者的投机倾向；第二种，投资者情绪是对股票市场整体的乐观与悲观心态。投资者情绪是影响股票市场表现的重要因素。当市场持续上涨时，投资者情绪高涨，表现得过于激进；当市场持续下跌时，出于对股票市场未来发展的担忧，投资者情绪十分低落，表现得过于保守，甚至过于恐惧。
   本课题将选取合适的情绪刻画指标，构建合适的指标体系，来量化市场的交易情绪。",学生需具备编程能力（最好是python）和数据分析处理能力。,朱威,TRUE,信息与计算科学,2021/11/3
2022wl047,制备时间对MgB2物性的影响研究,TRUE,横向H2019-020,,基础型,"超导材料能在低温条件下呈现出电阻为零且排斥磁力线，具有在超导态，能够False损耗传输电能，捕获强的磁场等众多优势，引起众多的科学家进行多方面的研究。低温合金超导体已经广泛地应用于医学CT/核磁共振、超导量子干涉仪等众多仪器。MgB2合金超导体于2001年被日本科学家发现，其超导转变温度接近40K，其转变温度几乎是合金超导体转变温度的2倍，低温工作条件可以通过液态氖实现，而不再是液态氦来实现低温，这将使其材料在工业应用中降低成本。而合金超导材料相对于高温超导稀土铜氧化物来说，制备条件更为简单，并且制备成本比较低，性能在研究过程中更容易分析。
本课题通过快速等离子放电烧结(SPS)方法，采用不同的制备时间制备了MgB2样品。根据物性测试系统测试的数据，对材料进行结构、磁性能的分析，讨论不同制备时间对MgB2超导材料的性能的影响。学生根据已有的物理知识对实验数据进行简单的分析。目的在于培养学生分析问题和解决问题的能力，学习材料分析的手段和方法。
一、本课题主要内容：	
1）学习快速等离子放电烧结方法；
2）根据物性测试系统测试的已有数据，使用Excell，origin等作图软件做出图线，同时根据微观扫描图像，利用自己的物理知识对实验结果进行简单的分析。
二、所需主要知识：
《电磁学》、《材料物理》等
","二、所需主要知识：
《电磁学》、《材料物理》等",张玉凤,TRUE,应用物理学,2021/11/3
2022wl048,基于高温超导GdBCO材料的制备和磁性能的研究,TRUE,国家基金（11004129）,,基础型,"超导材料能够在低温条件下呈现出电阻等于零以及排斥磁力线等性质。铜氧化物高温超导块材具有较高的磁感应强度，尺寸为120cm的圆柱形超导块材在低温77K时，因为强磁场而产生的悬浮力可以负载一个成年人的重量，这是相同尺寸的永久磁体根本False法达到的。因为优越的性能，高温超导材料广泛地应用于电机、磁悬浮列车、绿色可持续能源、风力发电等众多方面，美国、欧洲、日本、中国等都已经将该类材料列入国家发展计划。
本课题主要是通过熔融织构方法，寻找合适的修改制备高性能的GdBCO超导块材，同时对该材料的磁性能进行相应的分析研究，找到提高超导块材性能的方法，促进材料的应用研究。目的是培养学生独立的实验分析和解决问题的能力。
一、本课题主要内容：
1）主要学习超导材料的制备方法。	
2）进行简单的制备实验工作，根据已有的实验数据，通过origin软件进行数据处理，对超导的磁性能进行计算。通过已有的物理知识，对实验数据进行简单的分析。
二、所需主要知识：
《电磁学》、《材料物理》等
","二、所需主要知识：
《电磁学》、《材料物理》等",张玉凤,TRUE,应用物理学,2021/11/3
2022xj052,蒙特卡罗方法在金融计算中的应用研究,FALSE,,,基础型,"蒙特&#8226;卡罗方法（Monte Carlo method），也称统计模拟方法，是二十世纪四十年代中期由于科学技术的发展和电子计算机的发明，而被提出的一种以概率统计理论为指导的一类非常重要的数值计算方法。是指使用随机数（或更常见的伪随机数）来解决很多计算问题的方法。
与它对应的是确定性算法。蒙特&#8226;卡罗方法在金融工程学，宏观经济学，计算物理学等领域应用广泛。蒙特卡罗方法具有程序结构简单、收敛的概率性和收敛速度与问题维数False关和适应性强的特点,它能弥补网格分析技术和有限差分技术在面对高维问题的不足,被越来越多地应用到期权定价中来。
",认真积极主动，有一定的概率基础和计算机基础。,吴蓓蓓,TRUE,信息与计算科学,2021/11/3
2022xj053,基于有限差分的热传导方程数值解法研究,FALSE,,,基础型,"许多工程问题需要研究热量在物体内部的传导情况或某种物质在液体中的扩散情况，因此
研究热传导问题特别是非稳态热传导问题十分重要．热传导方程（或称热方程）是一个重要的偏微分方程，它描述一个区域内的温度如何随时间变化。有限差分方法（finite difference method）一种求偏微分（或常微分）方程和方程组定解问题的数值解的方法，简称差分方法。本课题主要对求解热传导方程的几种差分格式进行分析，并讨论使用 MATLAB 编程求解偏微分方程的方法． 编制几种差分格式的 MATLAB 程序，使用算例进行数值实验，在不同网格比情况下，比较几种算法的优劣．
",认真积极主动，有一定的计算机基础。,吴蓓蓓,TRUE,信息与计算科学,2021/11/3
2022xj054,电视节目收视率预测方法研究及分析,FALSE,,,基础型,收视率是电视节目的一个重要指标，它不仅关系到某档节目在观众中的口碑，还直接关系到节目经营效益和广告价值。如果能准确预测电视台预期播出节目的收视率，就能够更好地进行节目调度工作。考虑到特定电视节目的受众群体相对稳定，排除极少数突发事件的影响，电视节目收视率在短时间内是具有很强稳定性的，因此近期收视率数据在预测即将播出的节目收视率的问题中具有很大的价值。电视收视率的竞争犹如 一个巨大的竞技场，一方获利则意味着必有一方失利。电视台的广告收入与观众规模的多少有直接的关联。电视机构的执行者将广告时间出售给广告客户，其价格大小的参考往往来自于对电视节目收视率的预测。由于 大部分电视机构的广告推介往往提 前于电视节目的播出，因此，对于电视机构而言，获得一个预测收视率的方法是很必要的。,,吴蓓蓓,TRUE,信息与计算科学,2021/11/3
2022xj077,一种矩阵的随机奇异值分解算法及其应用,FALSE,,,基础型,奇异值分解是一种极其重要的矩阵分解方法，在数值线性代数领域具有基石地位。这种分解方法广泛应用于信号和图像处理、统计和数据压缩等领域。对于阶数较大的矩阵而言，奇异值分解的计算成本是非常高的，其计算复杂度数倍于同阶数矩阵的QR分解的计算复杂度。实际应用中，往往只需要计算矩阵的k-截断奇异值分解，它是完整奇异值分解的最优低秩逼近，可以大幅压缩数据的存储空间，同时保持较好的近似程度。但是精确k-截断奇异值分解的计算复杂度也是非常高的。2006年，数值代数专家M.Mahoney教授与其合作者提出了一种随机奇异值分解算法——LinearTimeSVD，该算法兼具了低复杂度和高近似度。本课题主要研究LinearTimeSVD算法在MATLAB环境下的实现及其在图像处理领域的应用，并在实践过程中探索原算法的改进方法。,掌握线性代数（矩阵论）的基础知识，熟悉MATLAB编程，对数值算法设计有一定的兴趣。,竺筱晶,TRUE,信息与计算科学,2021/11/4
2022xj003,粒子群算法在求解数学建模问题中的应用研究,FALSE,,,工程实践/应用型,"<br>数学建模中的某些优化问题不能使用Lingo优化求解器或Matlab优化工具箱等直接求解，而启发式算法是求解这类问题的一个有效选择，其中粒子群算法通过模拟鸟群觅食行为而发展起来的一种基于群体协作的随机搜索算法。本文选定收敛速度快和容易编程实现的粒子群算法来研究在求解数学建模问题中的应用。<br>

<br>主要内容包括（供选择也不局限下面内容）：<br>
（1）粒子群算法原理介绍，不同参数配置方案对算法求解结果的影响分析。<br>
（2）有约束优化问题化为False约束优化问题的方法：Lagrange乘数法和罚函数法。<br>
（3）应用案例1：利用粒子群算法求解“电影院的视角和仰角问题”。<br>
（4）应用案例2：利用粒子群算法求解“炉温曲线的优化设计” 子问题。<br>
（5）应用案例3：感兴趣的其他建模问题。<br>
（6）结果分析和比较：与模拟退火等启发式算法的比较。<br>
（7）探讨：与遗传算法相结合研究0-1整数规划问题。<br>
",,邓化宇,TRUE,信息与计算科学,2021/11/4
2022xj058,基于奇异谱分析的景区流量预测模型,FALSE,,,基础型,"奇异谱分析是一种处理非线性时间序列数据的方法，通过对所要研究的时间序列的轨迹矩阵进行分解、重构等操作，提取出时间序列中的不同成分序列(长期趋势，季节趋势，噪声等)，从而进行对时间序列进行分析。
从统计年鉴上获取所需资料数据，运用所学金融数学专业知识和数理统计知识，从中筛选出重要的指标作为研究的变量，利用有关通用工具软件如EXCEL、SPSS等，整理数据，先建立数据文件，并进行简单的描述性统计，初步分析数据；再利用有关统计软件如MATLAB或SPSS等，利用数理统计方法对模型进行统计假设检验，进而选用数理统计方法如：运用奇异谱分析、回归分析方法等对所选数据进行统计分析。通过建立的数学模型分析显著性影响因素及其发展状况。
",要求选取的样本数据合理、采用的分析方法恰当、得到的数学模型统计意义显著，结论具有一定的实际意义。基础知识为金融数学、概率论与数理统计、计量经济学、Excel 软件。,徐文莉,TRUE,信息与计算科学,2021/11/4
2022xj059,基于层次分析法的地区核心竞争力等级评定方法,FALSE,,,基础型,"层次分析法用于不确定情况下的多准则决策问题，将一个复杂的多目标决策问题作为一个系统，将目标分解为多个目标或准则，进而分解为多指标（或准则、约束）的若干层次，通过定性指标模糊量化方法算出层次单排序（权数）和总排序，以作为目标（多指标）、多方案优化决策的系统方法。其基本思想是将复杂的决策问题系统化分解为各个组成因素，再将这些因素按支配关系分组形成递阶层次结构，通过对各个准则和子准则的权重及重要性进行分层度量再以两两比较的方式确定层次中诸因素的相对重要性，并综合相关人员的判断，确定备选方案相对重要性的总排序，最终解决决策问题。
从统计年鉴上获取所需资料数据，运用所学金融数学专业知识和数理统计知识，从中筛选出重要的指标作为研究的变量，利用有关通用工具软件如EXCEL、SPSS等，整理数据，先建立数据文件，并进行简单的描述性统计，初步分析数据；再利用有关统计软件如MATLAB或SPSS等，利用数理统计方法对模型进行统计假设检验，进而选用数理统计方法如：运用层次分析法、聚类分析法、主成分分析方法等对所选数据进行统计分析。通过建立的数学模型分析显著性影响因素及其发展状况。",要求选取的样本数据合理、采用的分析方法恰当、得到的数学模型统计意义显著，结论具有一定的实际意义。基础知识为金融数学、概率论与数理统计、计量经济学、Excel 软件。,徐文莉,TRUE,信息与计算科学,2021/11/4
2022xj037,基于Python的个人爱好与生活习惯的关联分析,FALSE,,,基础型,一个人的爱好与个人的生活习惯紧密相关，如何挖掘二者之间的关系，成为了一个重要的研究课题。通过个人习惯分析个人的爱好，然后再通过引发个人爱好从而促进生活习惯的改善，是一个非常有意义的研究课题。在本课题中，我们提供一定量的个人习惯与个人爱好的数据，请根据这些数据，选取适当的关联规则，分析这些个人习惯与个人爱好之间的联系，也可以进一步的考虑，如何培养一些好的爱好，从而促进个人习惯的改进。在本课程的研究过程中，我们主要使用Python程序读取数据，编写Python程序建立模型分析数据、处理数据和挖掘数据，从而得出相关的结论。,对Python编程有一定的兴趣和基础,孙园,TRUE,信息与计算科学,2021/11/4
2022wl050,丝瓜碳网络架构氧化钴掺杂材料的电化学性能研究,FALSE,,,基础型,"超级电容，又名电化学电容，双电层电容器、黄金电容、法拉电容，是从上世纪七、八十年代发展起来的通过极化电解质来储能的一种电化学元件。
它不同于传统的化学电源，是一种介于传统电容器与电池之间、具有特殊性能的电源，主要依靠双电层和氧化还原赝电容电荷储存电能。但在其储能的过程并不发生化学反应，这种储能过程是可逆的，也正因为此超级电容器可以反复充放电数十万次。
超级电容的储能材料要具备质量比高电容、高循环寿命等性能。
  丝瓜碳在高温煅烧下会形成网状结构，借助氢氧化钾的作用，掺杂一定量的氧化钴氧化物粉末，形成有机复合材料。该材料用来制备超级电容的活性材料，有可能会形成较好的电化学性能。我们计划探索该材料的制备条件与材料的电化学性能之间的关系。探索出最优化的制备条件进而得到材料较好的电化学性能。",最好有考研计划的同学。每周至少二天能在学校实验室做实验。,赵雨,TRUE,应用物理学,2021/11/5
2022wl051,光伏组件倾角与发电量的关系的实验研究,FALSE,,,工程实践/应用型,"由于光伏发电系统的清洁性和安全性，在电力系统中的应用越来越广泛，光伏系统发电量受到很多外界因素的影响，包括光伏板的性能、太阳辐照强度、环境温度等，其中太阳辐照强度是最主要的因素［１－３］。文献［４－６］提出了倾斜面上月平均太阳辐照量的计算方法，该方法对于散射量的计算偏差较小。文献［７］采用了 Ｈａｙ提出的各向异性天空辐照模型，能够更加精确地计算斜面辐照量的大小；文献［８］给出一种按季调节的组件倾角的调节方法；文献［９］对于给定的倾角范围，对不同角度下的光伏组件发电量多少确定组件的最优
化倾角；文献［１０］针对武汉地区某一光伏平台，设置不同倾角，统计对应角度下的光伏组件发电量的多少确定组件的最优化角度。
  但是至今还没有一篇文献介绍有关组件倾角与最终发电量之间的关系的实验验证性实验。该课题打算就该问题做实验验证。关键问题是用组件开路电压或者短路电流代替最终的发电量的合理性。还有我们打算用不同月份的组件的实际发电量测量来定量实验验证我们的结论。",最好考研究生的同学。每周至少一天在学校做实验。,赵雨,TRUE,应用物理学,2021/11/5
2022xj004,最小生成树算法及其实际应用,FALSE,,,其它,"给定一个带权的False向连通图, 如何选取一棵生成树, 使树上所有边上权的总和为最小,这叫最小生成树。求一个赋权连通图的最小生成树在很多实际问题中都有着应用背景，例如旅游路线选择问题、城市高速公路修建问题及最小成本问题等。构建一个赋权连通图的最小生成树，有两个著名的算法，一个是罗伯特·普林（Robert Clay Prim) 在1957年给出的； 另一个算法是约瑟夫·克鲁斯卡尔（Joseph Bernard Kruskal) 在1956年发现的。这两个算法都是通过添加还没有使用过的具有规定性质且权最小的边来进行的。利用最小生成树算法来解决现实生活中遇到的实际问题，是一件有趣而且也有意义的工作。","1. 掌握图论的基础知识，有一定的分析和解决问题的能力；
2. 能熟练使用Matlab数学软件编写程序。",邓芸萍,TRUE,信息与计算科学,2021/11/5
